ba;wt.product;Produkte im Warenkorb, Produktname;E-Commerce > Produkte;Products in shopping basket, Product name;E-Commerce > Products
bw;;Bandbreite in Bit/Sekunde.;Navigation > Medien > Medienbandbreite (Bit/Sekunde);Bandwidth in bit/second.;Navigation > Media > Media Bandwidth (Bit/Second)
ca;wt.productCategory;Produktkategorie [ca2, ca3, ...], Produktkategorieÿ;"E-Commerce > Produktkategorien > [Name der Kategorie](bei Datentyp ""Text"", sonst Metrik)";Product category [ca2, ca3, ...], Product categoryÿ;"E-Commerce > Product Categories > [Name of Product Category](for datatype ""Text"", otherwise metric)"
ca870;;Produktbezeichnung;E-Commerce > Produktkategorien;Product name;E-Commerce > Product Categories
ca871;;Produkt-Hauptkategorie;E-Commerce > Produktkategorien;Product main category;E-Commerce > Product Categories
ca872;;Produkt-Unterkategorie;E-Commerce > Produktkategorien;Product subcategory;E-Commerce > Product Categories
ca873;;Produkt-Hersteller/Marke;E-Commerce > Produktkategorien;Product manufacturer/brand;E-Commerce > Product Categories
ca874;;Produktbeschreibung kurz;E-Commerce > Produktkategorien;Product description short;E-Commerce > Product Categories
ca875;;Produktbeschreibung lang;E-Commerce > Produktkategorien;Product description long;E-Commerce > Product Categories
cb;wt.customEcommerceParameter;Parameter E-Commerce [cb2, cb3, ...], E-Commerce-Parameter;"E-Commerce > E-Commerce-Parameter > [Name des Parameters] (bei Datentyp ""Text"", sonst Metrik)";E-commerce parameter [cb2, cb3, ...], E-Commerce parameter;"E-Commerce > E-Commerce Parameters > [Name of Parameter] (for datatype ""Text"", otherwise metric)"
cb560;;Neu- oder Bestandskunde;E-Commerce > E-Commerce Parameter;New or Returning Customer;E-Commerce > E-Commerce Parameters
cb561;;Retourenwert;- (Metrik);Return Value;- (Metric)
cb562;;Stornowert;- (Metrik);Cancellation Value;- (Metric)
cb563;wt.couponValue;Gutscheinwert;- (Metrik);Coupon value, Coupon Value;- (Metric)
cb675;;Produkt beworben;- (Metrik);Product advertised;- (Metric)
cb760;wt.productSoldOut;Produkt ausverkauft;- (Metrik);Product sold out;- (Metric)
cb761;wt.paymentMethod;Bezahlmethode;E-Commerce > E-Commerce Parameter;Payment method;E-Commerce > E-Commerce Parameters
